sample_index,split,true_label_id,true_label_name,predicted_label_id,predicted_label_name,confidence_of_predicted_class,confidence_of_true_class,gesture,person,session,take,sample_path,original_sample_path,is_correct
0,test,5,defense_water,5,defense_water,,,attack_air,luis,s1,take_001,data\raw\openpose_json\attack_air\luis\s1\take_001,data\raw\openpose_json\attack_air\luis\s1\take_001,True
1,test,4,attack_water,4,attack_water,,,attack_air,luis,s10,take_001,data\raw\openpose_json\attack_air\luis\s10\take_001,data\raw\openpose_json\attack_air\luis\s10\take_001,True
2,test,6,attack_earth,6,attack_earth,,,attack_air,luis,s11,take_001,data\raw\openpose_json\attack_air\luis\s11\take_001,data\raw\openpose_json\attack_air\luis\s11\take_001,True
3,test,6,attack_earth,6,attack_earth,,,attack_air,luis,s12,take_001,data\raw\openpose_json\attack_air\luis\s12\take_001,data\raw\openpose_json\attack_air\luis\s12\take_001,True
4,test,8,idle,8,idle,,,attack_air,luis,s13,take_001,data\raw\openpose_json\attack_air\luis\s13\take_001,data\raw\openpose_json\attack_air\luis\s13\take_001,True
5,test,5,defense_water,5,defense_water,,,attack_air,luis,s14,take_001,data\raw\openpose_json\attack_air\luis\s14\take_001,data\raw\openpose_json\attack_air\luis\s14\take_001,True
6,test,1,defense_air,1,defense_air,,,attack_air,luis,s15,take_001,data\raw\openpose_json\attack_air\luis\s15\take_001,data\raw\openpose_json\attack_air\luis\s15\take_001,True
7,test,1,defense_air,1,defense_air,,,attack_air,luis,s16,take_001,data\raw\openpose_json\attack_air\luis\s16\take_001,data\raw\openpose_json\attack_air\luis\s16\take_001,True
8,test,1,defense_air,1,defense_air,,,attack_air,luis,s17,take_001,data\raw\openpose_json\attack_air\luis\s17\take_001,data\raw\openpose_json\attack_air\luis\s17\take_001,True
9,test,8,idle,8,idle,,,attack_air,luis,s18,take_001,data\raw\openpose_json\attack_air\luis\s18\take_001,data\raw\openpose_json\attack_air\luis\s18\take_001,True
10,test,3,defense_fire,3,defense_fire,,,attack_air,luis,s19,take_001,data\raw\openpose_json\attack_air\luis\s19\take_001,data\raw\openpose_json\attack_air\luis\s19\take_001,True
12,test,6,attack_earth,6,attack_earth,,,attack_air,luis,s20,take_001,data\raw\openpose_json\attack_air\luis\s20\take_001,data\raw\openpose_json\attack_air\luis\s20\take_001,True
13,test,2,attack_fire,2,attack_fire,,,attack_air,luis,s21,take_001,data\raw\openpose_json\attack_air\luis\s21\take_001,data\raw\openpose_json\attack_air\luis\s21\take_001,True
14,test,1,defense_air,1,defense_air,,,attack_air,luis,s22,take_001,data\raw\openpose_json\attack_air\luis\s22\take_001,data\raw\openpose_json\attack_air\luis\s22\take_001,True
15,test,7,defense_earth,7,defense_earth,,,attack_air,luis,s23,take_001,data\raw\openpose_json\attack_air\luis\s23\take_001,data\raw\openpose_json\attack_air\luis\s23\take_001,True
16,test,3,defense_fire,3,defense_fire,,,attack_air,luis,s3,take_001,data\raw\openpose_json\attack_air\luis\s3\take_001,data\raw\openpose_json\attack_air\luis\s3\take_001,True
19,test,8,idle,8,idle,,,attack_air,luis,s6,take_001,data\raw\openpose_json\attack_air\luis\s6\take_001,data\raw\openpose_json\attack_air\luis\s6\take_001,True
20,test,6,attack_earth,6,attack_earth,,,attack_air,luis,s7,take_001,data\raw\openpose_json\attack_air\luis\s7\take_001,data\raw\openpose_json\attack_air\luis\s7\take_001,True
21,test,5,defense_water,5,defense_water,,,attack_air,luis,s8,take_001,data\raw\openpose_json\attack_air\luis\s8\take_001,data\raw\openpose_json\attack_air\luis\s8\take_001,True
22,test,2,attack_fire,2,attack_fire,,,attack_air,luis,s9,take_001,data\raw\openpose_json\attack_air\luis\s9\take_001,data\raw\openpose_json\attack_air\luis\s9\take_001,True
24,test,3,defense_fire,3,defense_fire,,,attack_air,p2,s1,take_001,data\raw\openpose_json\attack_air\p2\s1\take_001,data\raw\openpose_json\attack_air\p2\s1\take_001,True
25,test,4,attack_water,4,attack_water,,,attack_air,rin,s1,take_002,data\raw\openpose_json\attack_air\rin\s1\take_002,data\raw\openpose_json\attack_air\rin\s1\take_002,True
26,test,1,defense_air,1,defense_air,,,attack_air,rin,s1,take_003,data\raw\openpose_json\attack_air\rin\s1\take_003,data\raw\openpose_json\attack_air\rin\s1\take_003,True
27,test,8,idle,8,idle,,,attack_air,rin,s10,take_001,data\raw\openpose_json\attack_air\rin\s10\take_001,data\raw\openpose_json\attack_air\rin\s10\take_001,True
28,test,3,defense_fire,3,defense_fire,,,attack_air,rin,s11,take_001,data\raw\openpose_json\attack_air\rin\s11\take_001,data\raw\openpose_json\attack_air\rin\s11\take_001,True
29,test,2,attack_fire,2,attack_fire,,,attack_air,rin,s12,take_001,data\raw\openpose_json\attack_air\rin\s12\take_001,data\raw\openpose_json\attack_air\rin\s12\take_001,True
30,test,4,attack_water,4,attack_water,,,attack_air,rin,s13,take_001,data\raw\openpose_json\attack_air\rin\s13\take_001,data\raw\openpose_json\attack_air\rin\s13\take_001,True
31,test,5,defense_water,5,defense_water,,,attack_air,rin,s14,take_001,data\raw\openpose_json\attack_air\rin\s14\take_001,data\raw\openpose_json\attack_air\rin\s14\take_001,True
33,test,5,defense_water,5,defense_water,,,attack_air,rin,s16,take_001,data\raw\openpose_json\attack_air\rin\s16\take_001,data\raw\openpose_json\attack_air\rin\s16\take_001,True
34,test,4,attack_water,4,attack_water,,,attack_air,rin,s17,take_001,data\raw\openpose_json\attack_air\rin\s17\take_001,data\raw\openpose_json\attack_air\rin\s17\take_001,True
35,test,0,attack_air,0,attack_air,,,attack_air,rin,s18,take_001,data\raw\openpose_json\attack_air\rin\s18\take_001,data\raw\openpose_json\attack_air\rin\s18\take_001,True
37,test,4,attack_water,4,attack_water,,,attack_air,rin,s2,take_001,data\raw\openpose_json\attack_air\rin\s2\take_001,data\raw\openpose_json\attack_air\rin\s2\take_001,True
38,test,7,defense_earth,7,defense_earth,,,attack_air,rin,s20,take_001,data\raw\openpose_json\attack_air\rin\s20\take_001,data\raw\openpose_json\attack_air\rin\s20\take_001,True
39,test,1,defense_air,1,defense_air,,,attack_air,rin,s21,take_001,data\raw\openpose_json\attack_air\rin\s21\take_001,data\raw\openpose_json\attack_air\rin\s21\take_001,True
40,test,0,attack_air,0,attack_air,,,attack_air,rin,s22,take_001,data\raw\openpose_json\attack_air\rin\s22\take_001,data\raw\openpose_json\attack_air\rin\s22\take_001,True
41,test,5,defense_water,5,defense_water,,,attack_air,rin,s23,take_001,data\raw\openpose_json\attack_air\rin\s23\take_001,data\raw\openpose_json\attack_air\rin\s23\take_001,True
42,test,0,attack_air,0,attack_air,,,attack_air,rin,s24,take_001,data\raw\openpose_json\attack_air\rin\s24\take_001,data\raw\openpose_json\attack_air\rin\s24\take_001,True
43,test,6,attack_earth,6,attack_earth,,,attack_air,rin,s25,take_001,data\raw\openpose_json\attack_air\rin\s25\take_001,data\raw\openpose_json\attack_air\rin\s25\take_001,True
44,test,3,defense_fire,3,defense_fire,,,attack_air,rin,s3,take_001,data\raw\openpose_json\attack_air\rin\s3\take_001,data\raw\openpose_json\attack_air\rin\s3\take_001,True
45,test,5,defense_water,5,defense_water,,,attack_air,rin,s4,take_001,data\raw\openpose_json\attack_air\rin\s4\take_001,data\raw\openpose_json\attack_air\rin\s4\take_001,True
46,test,7,defense_earth,7,defense_earth,,,attack_air,rin,s5,take_001,data\raw\openpose_json\attack_air\rin\s5\take_001,data\raw\openpose_json\attack_air\rin\s5\take_001,True
47,test,2,attack_fire,2,attack_fire,,,attack_air,rin,s6,take_001,data\raw\openpose_json\attack_air\rin\s6\take_001,data\raw\openpose_json\attack_air\rin\s6\take_001,True
48,test,0,attack_air,0,attack_air,,,attack_air,rin,s7,take_001,data\raw\openpose_json\attack_air\rin\s7\take_001,data\raw\openpose_json\attack_air\rin\s7\take_001,True
49,test,4,attack_water,4,attack_water,,,attack_air,rin,s8,take_001,data\raw\openpose_json\attack_air\rin\s8\take_001,data\raw\openpose_json\attack_air\rin\s8\take_001,True
50,test,4,attack_water,4,attack_water,,,attack_air,rin,s9,take_001,data\raw\openpose_json\attack_air\rin\s9\take_001,data\raw\openpose_json\attack_air\rin\s9\take_001,True
51,test,7,defense_earth,7,defense_earth,,,attack_earth,luis,s1,take_001,data\raw\openpose_json\attack_earth\luis\s1\take_001,data\raw\openpose_json\attack_earth\luis\s1\take_001,True
52,test,3,defense_fire,3,defense_fire,,,attack_earth,luis,s10,take_001,data\raw\openpose_json\attack_earth\luis\s10\take_001,data\raw\openpose_json\attack_earth\luis\s10\take_001,True
53,test,6,attack_earth,6,attack_earth,,,attack_earth,luis,s11,take_001,data\raw\openpose_json\attack_earth\luis\s11\take_001,data\raw\openpose_json\attack_earth\luis\s11\take_001,True
55,test,7,defense_earth,7,defense_earth,,,attack_earth,luis,s13,take_001,data\raw\openpose_json\attack_earth\luis\s13\take_001,data\raw\openpose_json\attack_earth\luis\s13\take_001,True
56,test,8,idle,8,idle,,,attack_earth,luis,s14,take_001,data\raw\openpose_json\attack_earth\luis\s14\take_001,data\raw\openpose_json\attack_earth\luis\s14\take_001,True
